지점,지점명,일시,미세먼지
102,백령도,2020-06-03 17:00,19
102,백령도,2020-06-03 18:00,17
102,백령도,2020-06-03 19:00,16
102,백령도,2020-06-03 20:00,8
102,백령도,2020-06-03 21:00,11
102,백령도,2020-06-03 22:00,4
102,백령도,2020-06-03 23:00,6
102,백령도,2020-06-04 1:00,5
102,백령도,2020-06-04 3:00,3
102,백령도,2020-06-04 4:00,5
102,백령도,2020-06-04 7:00,2
102,백령도,2020-06-04 8:00,4
102,백령도,2020-06-04 9:00,10
102,백령도,2020-06-04 10:00,14
102,백령도,2020-06-04 11:00,12
102,백령도,2020-06-04 12:00,30
102,백령도,2020-06-04 13:00,41
102,백령도,2020-06-04 14:00,35
102,백령도,2020-06-04 15:00,28
102,백령도,2020-06-04 16:00,32
102,백령도,2020-06-04 17:00,47
102,백령도,2020-06-04 18:00,51
102,백령도,2020-06-04 19:00,44
102,백령도,2020-06-04 20:00,30
102,백령도,2020-06-04 21:00,24
102,백령도,2020-06-04 22:00,12
102,백령도,2020-06-04 23:00,10
102,백령도,2020-06-05 0:00,20
102,백령도,2020-06-05 1:00,25
102,백령도,2020-06-05 2:00,8
102,백령도,2020-06-05 3:00,10
102,백령도,2020-06-05 4:00,10
102,백령도,2020-06-05 5:00,21
102,백령도,2020-06-05 6:00,10
102,백령도,2020-06-05 8:00,12
102,백령도,2020-06-05 9:00,18
102,백령도,2020-06-05 10:00,22
